category_id,category,title,rating,duration
ct1,Action & Adventure,Monster Run,TV-14,104 min
ct2,Action & Adventure,Boss,TV-14,139 min
ct3,Action & Adventure,I Am Vengeance: Retaliation,R,82 min
ct4,Action & Adventure,Mystery Men,PG-13,121 min
ct5,Action & Adventure,Outside the Wire,R,116 min
ct6,Action & Adventure,Tears of the Sun,R,121 min
ct7,Action & Adventure,Cirque du Freak: The Vampire's Assistant,PG-13,109 min
ct8,Action & Adventure,Muqaddar ka Faisla,TV-14,172 min
ct9,Action & Adventure,Sword Master,TV-MA,108 min
ct10,Action & Adventure,Regatta,TV-MA,100 min
ct11,Action & Adventure,Kaalia,TV-14,173 min
ct12,Action & Adventure,Banyuki,TV-PG,182 min
ct13,Action & Adventure,Naan Sigappu Manithan,TV-14,147 min
ct14,Action & Adventure,Initial D,TV-14,109 min
ct15,Action & Adventure,Drive,TV-14,119 min
ct16,Action & Adventure,Red Dawn,PG-13,114 min
ct17,Action & Adventure,K-19: The Widowmaker,PG-13,138 min
ct18,Action & Adventure,Angel Has Fallen,R,121 min
ct19,Action & Adventure,XXX: State of the Union,PG-13,101 min
ct20,Action & Adventure,Rampant,TV-MA,122 min
ct21,Action & Adventure,Kill Ratio,TV-MA,87 min
ct22,Action & Adventure,Blind Detective,TV-MA,130 min
ct23,Action & Adventure,Ant-Man and the Wasp,PG-13,118 min
ct24,Action & Adventure,Gatao 2: Rise of the King,TV-MA,126 min
ct25,Action & Adventure,Young Tiger,NR,81 min
ct26,Action & Adventure,Needhi Singh,TV-14,103 min
ct27,Action & Adventure,Dum,TV-14,162 min
ct28,Action & Adventure,Dances with Wolves,PG-13,181 min
ct29,Action & Adventure,Antidote,TV-MA,90 min
ct30,Action & Adventure,Seven Souls in the Skull Castle 2011,TV-14,177 min
ct31,Action & Adventure,Phantom,TV-14,129 min
ct32,Action & Adventure,Jodhaa Akbar,TV-14,214 min
ct33,Action & Adventure,April and the Extraordinary World,PG,107 min
ct34,Action & Adventure,Bon Cop Bad Cop 2,TV-MA,126 min
ct35,Action & Adventure,Abdo Mota,TV-MA,100 min
ct36,Action & Adventure,Railroad Tigers,TV-14,124 min
ct37,Action & Adventure,A Choo,TV-14,101 min
ct38,Action & Adventure,Kill the Irishman,R,106 min
